claim_id,qkey,value,unit,category,stance,file,line,quoted_context
R2-001,run_opus_itemsets,26.8M,itemsets in godmode parquet,deterministic,asserts-own,F1,7,`archived/alphafold/results_214m/itemsets_214m_godmode.parquet` (26.8M itemsets)
R2-002,run_opus_min_count,8,"min_count, godmode/main run (paper)",method-parameter,quotes-paper,F1,"18, 42, 191, 195, 196, 304, 308",Godmode (main result): min_count=8 … The godmode run used min_count=8 as claimed.
R2-003,dataset_multi_feature,"76,890,945",n_transactions (log / JSON),deterministic,asserts-own,F1,"22, 30, 38, 57, 61, 88, 130, 288, 317","n_transactions | 76,890,945 | godmode log line 2"
R2-004,run_opus_min_count,8,min_count (godmode log),method-parameter,asserts-own,F1,23,min_count | 8 | godmode log line 2
R2-005,run_opus_support,1.04e-07 (~0.00001%),"min_support (8 / 76,890,945)",method-parameter,asserts-own,F1,"24, 87","min_support | 1.04e-07 (~0.00001%) | 8 / 76,890,945"
R2-006,run_power_min_count,768,"min_count, direct-vs-SON experiment (JSON)",method-parameter,asserts-own,F1,"26, 31, 42",Direct vs SON experiment: min_count=768
R2-007,run_power_support,1e-05 (0.001%),"min_support, direct-vs-SON & null (JSON)",method-parameter,asserts-own,F1,"32, 40, 131",min_support | 1e-05 (0.001%) | JSON `parameters.min_support`
R2-008,null_min_count,769,"min_count, null model (JSON)",method-parameter,asserts-own,F1,"34, 39, 42, 194",Null model: min_count=769
R2-009,null_vs_opus_min_count_ratio,96×,threshold ratio null/godmode,deterministic,asserts-own,F1,44,operate at a 96x stricter threshold than the godmode run
R2-010,dataset_multi_feature,76.9M,multi-feature proteins (paper),deterministic,quotes-paper,F1,"50, 288","Claim: 76.9M multi-feature proteins (after dedup), from 205.6M total."
R2-011,dataset_plddt_pass,205.6M,total proteins (paper),deterministic,quotes-paper,F1,50,"Claim: 76.9M multi-feature proteins (after dedup), from 205.6M total."
R2-012,dataset_plddt_pass,"205,620,298",total proteins (paper),deterministic,quotes-paper,F1,"56, 61, 318","Total proteins | 205,620,298 | 205,620,298 | VERIFIED"
R2-013,dataset_plddt_pass,"205,620,298",total proteins (transactions parquet),deterministic,asserts-own,F1,56,"Total proteins | 205,620,298 | 205,620,298 | VERIFIED"
R2-014,dataset_multi_feature,"76,890,945",multi-feature (>1 item) proteins (paper),deterministic,quotes-paper,F1,"57, 61","Multi-feature (>1 item) | 76,890,945 | 76,890,945 | VERIFIED"
R2-015,dataset_multi_feature_pct,37.4%,multi-feature share (paper),deterministic,quotes-paper,F1,"58, 61",Percentage multi-feature | 37.4% | 37.39% | VERIFIED
R2-016,dataset_multi_feature_pct,37.39%,multi-feature share (parquet),deterministic,asserts-own,F1,"58, 73",37.39% have >1 feature (used in mining)
R2-017,dataset_single_feature,128.7M,single-feature proteins (paper),deterministic,quotes-paper,F1,59,"Single-feature | 128.7M (62.6%) | 128,729,353 (62.61%) | VERIFIED"
R2-018,dataset_single_feature_pct,62.6%,single-feature share (paper),deterministic,quotes-paper,F1,59,"Single-feature | 128.7M (62.6%) | 128,729,353 (62.61%) | VERIFIED"
R2-019,dataset_single_feature,"128,729,353",single-feature proteins (parquet),deterministic,asserts-own,F1,59,"Single-feature | 128.7M (62.6%) | 128,729,353 (62.61%) | VERIFIED"
R2-020,dataset_single_feature_pct,62.61%,single-feature share (parquet),deterministic,asserts-own,F1,"59, 72",62.61% of proteins have only 1 feature (excluded from mining)
R2-021,null_shuffle_dedup_pct,20.45%,"""dedup"" rate (PROJECT_STATE.md, not the paper)",deterministic,quotes-paper,F1,"67, 75, 289","Claim (PROJECT_STATE.md only): ""Dedup affected 20.45%"""
R2-022,null_shuffle_dedup_pct,~20.45%,proteins with duplicate items after null shuffle,deterministic,asserts-own,F1,69,"after shuffling items across proteins, ~20.45% of proteins have duplicate items that must be removed"
R2-023,run_opus_kmax,K=22,"max itemset depth, main run (paper)",deterministic,quotes-paper,F1,"79, 103, 189, 217, 290",K=22 Validation … the Opus K-distribution (K_max=22)
R2-024,kdist_opus_k22_count,1,itemsets at K=22 in godmode parquet,deterministic,asserts-own,F1,"85, 90, 111, 290, 323",K=22 itemsets in godmode parquet | **Exactly 1**
