qkey,category,unit,description,claimed_value_tex,tex_lines,reproducibility
meta_review_f1_verification_buckets,external-fact,buckets,Number of verification buckets the F1 audit organised its checks into (9).,review:9,PAPER_V2_REVIEW.md:7,external
meta_review_f1_claims_adjudicated,external-fact,claims,Number of paper claims adjudicated by the F1 audit (73).,review:73,PAPER_V2_REVIEW.md:7,external
meta_review_f1_claims_confirmed,external-fact,claims,F1 verdict table: claims CONFIRMED (62).,review:62,PAPER_V2_REVIEW.md:11,external
meta_review_f1_claims_discrepant,external-fact,claims,F1 verdict table: claims DISCREPANT (4).,review:4,PAPER_V2_REVIEW.md:12,external
meta_review_f1_claims_unverifiable,external-fact,claims,F1 verdict table: claims UNVERIFIABLE (7).,review:7,PAPER_V2_REVIEW.md:13,external
meta_review_f1_campaign_rows_verified,external-fact,rows verified,F1: campaign-table rows verified against the logs (6/6).,review:6/6,PAPER_V2_REVIEW.md:15;PAPER_V2_REVIEW.md:72,external
meta_review_f1_kdist_checks,external-fact,checks passed,"F1: K-distribution checks passed (8/8, line-for-line).",review:8/8,PAPER_V2_REVIEW.md:15;PAPER_V2_REVIEW.md:74,external
meta_review_f1_direct_vs_son_checks,external-fact,checks passed,F1: Direct-vs-SON comparison checks passed (6/6).,review:6/6,PAPER_V2_REVIEW.md:15;PAPER_V2_REVIEW.md:80,external
vocab_v1_pfam,deterministic,items,"Pfam item count of the v1 manuscript's Table 1 (247; F1 calls that table fabricated, F3 quotes it as the paper's vocabulary). Not re-derivable.",review:247,PAPER_V2_REVIEW.md:15;review_b1_hostile.md:159,external
vocab_v1_go,deterministic,items,GO item count of the v1 manuscript's Table 1 (752 = 302 MF + 289 BP + 161 CC).,review:752,PAPER_V2_REVIEW.md:15,external
vocab_v1_plddt,deterministic,items,pLDDT item count of the v1 manuscript's Table 1 (3).,review:3,PAPER_V2_REVIEW.md:15;review_b1_hostile.md:159,external
null_p_bound_rule_of_three,deterministic,p,Reviewer's rule-of-three upper bound for 0 of 5 permutations reaching K>=7: 3/n = 3/5 = 0.60 (contrasted with the exact binomial null_p_bound_kge7 = 0.4507).,review:3/5=0.60,PAPER_V2_REVIEW.md:22;PAPER_V2_REVIEW.md:51,derived
dataset_pfam_go_families_ge8,deterministic,families,Number of Pfam/GO families occurring in >= 8 proteins of the 205.6M set (reviewer: 'vastly more than 500'); the count that a '>=8-support retention' vocabulary would have produced.,review:>500,PAPER_V2_REVIEW.md:33,rerun
meta_review_f1_confirmed_dataset_vocab,external-fact,claims,F1: number of confirmed dataset & vocabulary claims (7).,review:7,PAPER_V2_REVIEW.md:61,external
meta_review_f1_confirmed_memory,external-fact,claims,F1: number of confirmed memory claims (6).,review:6,PAPER_V2_REVIEW.md:70,external
meta_review_f1_kdist_rows_range,deterministic,K range,"F1: range of intermediate K-distribution rows verified besides K=1, 2, 22 ('all K=3..21 rows').",review:3..21,PAPER_V2_REVIEW.md:74,external
